stt,name,content,Type
27,Bayer,"B-Beständig, A-Achtsam, Y-Young-at-heart, E-Echt, R-Respektvoll",
28,Beck,"B-Beständig, E-Echt, C-Charakterstark, K-Kraftvoll",
29,Becker,"B-Beständig, E-Echt, C-Charakterstark, K-Kraftvoll, E-Ehrlich, R-Respektvoll",
30,Beckmann,"B-Beständig, E-Echt, C-Charakterstark, K-Kraftvoll, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
31,Beer,"B-Beständig, E-Echt, E-Ehrlich, R-Respektvoll",
32,Behrendt,"B-Beständig, E-Echt, H-Herzlich, R-Respektvoll, E-Ehrlich, N-Nahbar, D-Dankbar, T-Treu",
33,Behrens,"B-Beständig, E-Echt, H-Herzlich, R-Respektvoll, E-Ehrlich, N-Nahbar, S-Stark",
34,Beier,"B-Beständig, E-Echt, I-Innig, E-Ehrlich, R-Respektvoll",
35,Bender,"B-Beständig, E-Echt, N-Nahbar, D-Dankbar, E-Ehrlich, R-Respektvoll",
36,Benz,"B-Beständig, E-Echt, N-Nahbar, Z-Zusammenhaltend",
37,Berg,"B-Beständig, E-Echt, R-Respektvoll, G-Geliebt",
38,Berger,"B-Beständig, E-Echt, R-Respektvoll, G-Geliebt, E-Ehrlich, R-Ruhig",
39,Bergmann,"B-Beständig, E-Echt, R-Respektvoll, G-Geliebt, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
40,Berndt,"B-Beständig, E-Echt, R-Respektvoll, N-Nahbar, D-Dankbar, T-Treu",
41,Bernhardt,"B-Beständig, E-Echt, R-Respektvoll, N-Nahbar, H-Herzlich, A-Achtsam, R-Ruhig, D-Dankbar, T-Treu",
42,Bertram,"B-Beständig, E-Echt, R-Respektvoll, T-Treu, R-Ruhig, A-Achtsam, M-Menschlich",
43,Betz,"B-Beständig, E-Echt, T-Treu, Z-Zusammenhaltend",
44,Beyer,"B-Beständig, E-Echt, Y-Young-at-heart, E-Ehrlich, R-Respektvoll",
45,Binder,"B-Beständig, I-Innig, N-Nahbar, D-Dankbar, E-Echt, R-Respektvoll",
46,Bischoff,"B-Beständig, I-Innig, S-Stark, C-Charakterstark, H-Herzlich, O-Offen, F-Familienstark, F-Fest-verbunden",
47,Bittner,"B-Beständig, I-Innig, T-Treu, T-Tatkräftig, N-Nahbar, E-Echt, R-Respektvoll",
48,Blank,"B-Beständig, L-Liebevoll, A-Achtsam, N-Nahbar, K-Kraftvoll",
49,Block,"B-Beständig, L-Liebevoll, O-Offen, C-Charakterstark, K-Kraftvoll",
50,Blum,"B-Beständig, L-Liebevoll, U-Unkompliziert, M-Menschlich",
51,Bock,"B-Beständig, O-Offen, C-Charakterstark, K-Kraftvoll",
52,Bode,"B-Beständig, O-Offen, D-Dankbar, E-Echt",
53,Born,"B-Beständig, O-Offen, R-Respektvoll, N-Nahbar",
54,Brand,"B-Beständig, R-Respektvoll, A-Achtsam, N-Nahbar, D-Dankbar",
55,Brandl,"B-Beständig, R-Respektvoll, A-Achtsam, N-Nahbar, D-Dankbar, L-Liebevoll",
56,Brandt,"B-Beständig, R-Respektvoll, A-Achtsam, N-Nahbar, D-Dankbar, T-Treu",
57,Brauer,"B-Beständig, R-Respektvoll, A-Achtsam, U-Unkompliziert, E-Echt, R-Ruhig",
58,Braun,"B-Beständig, R-Respektvoll, A-Achtsam, U-Unkompliziert, N-Nahbar",
59,Bremer,"B-Beständig, R-Respektvoll, E-Echt, M-Menschlich, E-Ehrlich, R-Ruhig",
60,Brenner,"B-Beständig, R-Respektvoll, E-Echt, N-Nahbar, N-Natürlich, E-Ehrlich, R-Ruhig",
61,Breuer,"B-Beständig, R-Respektvoll, E-Echt, U-Unkompliziert, E-Ehrlich, R-Ruhig",
62,Brinkmann,"B-Beständig, R-Respektvoll, I-Innig, N-Nahbar, K-Kraftvoll, M-Menschlich, A-Achtsam, N-Natürlich, N-Nett",
63,Brunner,"B-Beständig, R-Respektvoll, U-Unkompliziert, N-Nahbar, N-Natürlich, E-Echt, R-Ruhig",
64,Bruns,"B-Beständig, R-Respektvoll, U-Unkompliziert, N-Nahbar, S-Stark",
65,Buchholz,"B-Beständig, U-Unkompliziert, C-Charakterstark, H-Herzlich, H-Hilfsbereit, O-Offen, L-Liebevoll, Z-Zusammenhaltend",
66,Buck,"B-Beständig, U-Unkompliziert, C-Charakterstark, K-Kraftvoll",
67,Burger,"B-Beständig, U-Unkompliziert, R-Respektvoll, G-Geliebt, E-Echt, R-Ruhig",
68,Burkhardt,"B-Beständig, U-Unkompliziert, R-Respektvoll, K-Kraftvoll, H-Herzlich, A-Achtsam, R-Ruhig, D-Dankbar, T-Treu",
69,Busch,"B-Beständig, U-Unkompliziert, S-Stark, C-Charakterstark, H-Herzlich",
70,Busse,"B-Beständig, U-Unkompliziert, S-Stark, S-Sympathisch, E-Echt",
71,Christ,"C-Charakterstark, H-Herzlich, R-Respektvoll, I-Innig, S-Stark, T-Treu",
72,Conrad,"C-Charakterstark, O-Offen, N-Nahbar, R-Respektvoll, A-Achtsam, D-Dankbar",
73,Decker,"D-Dankbar, E-Echt, C-Charakterstark, K-Kraftvoll, E-Ehrlich, R-Respektvoll",
74,Dick,"D-Dankbar, I-Innig, C-Charakterstark, K-Kraftvoll",
75,Diehl,"D-Dankbar, I-Innig, E-Echt, H-Herzlich, L-Liebevoll",
76,Dietrich,"D-Dankbar, I-Innig, E-Echt, T-Treu, R-Respektvoll, I-Inspirierend, C-Charakterstark, H-Herzlich",
77,Dietz,"D-Dankbar, I-Innig, E-Echt, T-Treu, Z-Zusammenhaltend",
78,Dittrich,"D-Dankbar, I-Innig, T-Treu, T-Tatkräftig, R-Respektvoll, I-Inspirierend, C-Charakterstark, H-Herzlich",
79,Dorn,"D-Dankbar, O-Offen, R-Respektvoll, N-Nahbar",
80,Drescher,"D-Dankbar, R-Respektvoll, E-Echt, S-Stark, C-Charakterstark, H-Herzlich, E-Ehrlich, R-Ruhig",
81,Dreyer,"D-Dankbar, R-Respektvoll, E-Echt, Y-Young-at-heart, E-Ehrlich, R-Ruhig",
82,Eberhardt,"E-Echt, B-Beständig, E-Ehrlich, R-Respektvoll, H-Herzlich, A-Achtsam, R-Ruhig, D-Dankbar, T-Treu",
83,Ebert,"E-Echt, B-Beständig, E-Ehrlich, R-Respektvoll, T-Treu",
84,Eckert,"E-Echt, C-Charakterstark, K-Kraftvoll, E-Ehrlich, R-Respektvoll, T-Treu",
85,Eder,"E-Echt, D-Dankbar, E-Ehrlich, R-Respektvoll",
86,Eggert,"E-Echt, G-Geliebt, G-Geborgen, E-Ehrlich, R-Respektvoll, T-Treu",
87,Ehlers,"E-Echt, H-Herzlich, L-Liebevoll, E-Ehrlich, R-Respektvoll, S-Stark",
88,Eichhorn,"E-Echt, I-Innig, C-Charakterstark, H-Herzlich, H-Hilfsbereit, O-Offen, R-Respektvoll, N-Nahbar",
89,Eichler,"E-Echt, I-Innig, C-Charakterstark, H-Herzlich, L-Liebevoll, E-Ehrlich, R-Respektvoll",
90,Elsner,"E-Echt, L-Liebevoll, S-Stark, N-Nahbar, E-Ehrlich, R-Respektvoll",
91,Engel,"E-Echt, N-Nahbar, G-Geliebt, E-Ehrlich, L-Liebevoll",
92,Engelhardt,"E-Echt, N-Nahbar, G-Geliebt, E-Ehrlich, L-Liebevoll, H-Herzlich, A-Achtsam, R-Respektvoll, D-Dankbar, T-Treu",
93,Engelmann,"E-Echt, N-Nahbar, G-Geliebt, E-Ehrlich, L-Liebevoll, M-Menschlich, A-Achtsam, N-Natürlich, N-Nett",
94,Engels,"E-Echt, N-Nahbar, G-Geliebt, E-Ehrlich, L-Liebevoll, S-Stark",
95,Erdmann,"E-Echt, R-Respektvoll, D-Dankbar, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
96,Ernst,"E-Echt, R-Respektvoll, N-Nahbar, S-Stark, T-Treu",
97,Esser,"E-Echt, S-Stark, S-Sympathisch, E-Ehrlich, R-Respektvoll",
98,Faber,"F-Familienstark, A-Achtsam, B-Beständig, E-Echt, R-Respektvoll",
99,Falk,"F-Familienstark, A-Achtsam, L-Liebevoll, K-Kraftvoll",
100,Feldmann,"F-Familienstark, E-Echt, L-Liebevoll, D-Dankbar, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
101,Fiedler,"F-Familienstark, I-Innig, E-Echt, D-Dankbar, L-Liebevoll, E-Ehrlich, R-Respektvoll",
102,Fink,"F-Familienstark, I-Innig, N-Nahbar, K-Kraftvoll",
103,Finke,"F-Familienstark, I-Innig, N-Nahbar, K-Kraftvoll, E-Echt",
104,Fischer,"F-Familienstark, I-Innig, S-Stark, C-Charakterstark, H-Herzlich, E-Echt, R-Respektvoll",
105,Fleischer,"F-Familienstark, L-Liebevoll, E-Echt, I-Innig, S-Stark, C-Charakterstark, H-Herzlich, E-Ehrlich, R-Respektvoll",
106,Fleischmann,"F-Familienstark, L-Liebevoll, E-Echt, I-Innig, S-Stark, C-Charakterstark, H-Herzlich, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
107,Forster,"F-Familienstark, O-Offen, R-Respektvoll, S-Stark, T-Treu, E-Echt, R-Ruhig",
108,Frank,"F-Familienstark, R-Respektvoll, A-Achtsam, N-Nahbar, K-Kraftvoll",
109,Franke,"F-Familienstark, R-Respektvoll, A-Achtsam, N-Nahbar, K-Kraftvoll, E-Echt",
110,Franz,"F-Familienstark, R-Respektvoll, A-Achtsam, N-Nahbar, Z-Zusammenhaltend",
111,Freitag,"F-Familienstark, R-Respektvoll, E-Echt, I-Innig, T-Treu, A-Achtsam, G-Geliebt",
112,Frenzel,"F-Familienstark, R-Respektvoll, E-Echt, N-Nahbar, Z-Zusammenhaltend, E-Ehrlich, L-Liebevoll",
113,Freund,"F-Familienstark, R-Respektvoll, E-Echt, U-Unkompliziert, N-Nahbar, D-Dankbar",
114,Frey,"F-Familienstark, R-Respektvoll, E-Echt, Y-Young-at-heart",
115,Fricke,"F-Familienstark, R-Respektvoll, I-Innig, C-Charakterstark, K-Kraftvoll, E-Echt",
116,Friedrich,"F-Familienstark, R-Respektvoll, I-Innig, E-Echt, D-Dankbar, R-Ruhig, I-Inspirierend, C-Charakterstark, H-Herzlich",
117,Fries,"F-Familienstark, R-Respektvoll, I-Innig, E-Echt, S-Stark",
118,Fritsch,"F-Familienstark, R-Respektvoll, I-Innig, T-Treu, S-Stark, C-Charakterstark, H-Herzlich",
119,Fritz,"F-Familienstark, R-Respektvoll, I-Innig, T-Treu, Z-Zusammenhaltend",
120,Fuchs,"F-Familienstark, U-Unkompliziert, C-Charakterstark, H-Herzlich, S-Stark",
121,Fuhrmann,"F-Familienstark, U-Unkompliziert, H-Herzlich, R-Respektvoll, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
122,Funk,"F-Familienstark, U-Unkompliziert, N-Nahbar, K-Kraftvoll",
123,Funke,"F-Familienstark, U-Unkompliziert, N-Nahbar, K-Kraftvoll, E-Echt",
124,Gabriel,"G-Geliebt, A-Achtsam, B-Beständig, R-Respektvoll, I-Innig, E-Echt, L-Liebevoll",
125,Gebauer,"G-Geliebt, E-Echt, B-Beständig, A-Achtsam, U-Unkompliziert, E-Ehrlich, R-Respektvoll",
126,Gebhardt,"G-Geliebt, E-Echt, B-Beständig, H-Herzlich, A-Achtsam, R-Respektvoll, D-Dankbar, T-Treu",
127,Geier,"G-Geliebt, E-Echt, I-Innig, E-Ehrlich, R-Respektvoll",
128,Geiger,"G-Geliebt, E-Echt, I-Innig, G-Geborgen, E-Ehrlich, R-Respektvoll",
129,Geisler,"G-Geliebt, E-Echt, I-Innig, S-Stark, L-Liebevoll, E-Ehrlich, R-Respektvoll",
130,Gerber,"G-Geliebt, E-Echt, R-Respektvoll, B-Beständig, E-Ehrlich, R-Ruhig",
131,Gerhardt,"G-Geliebt, E-Echt, R-Respektvoll, H-Herzlich, A-Achtsam, R-Ruhig, D-Dankbar, T-Treu",
132,Gerlach,"G-Geliebt, E-Echt, R-Respektvoll, L-Liebevoll, A-Achtsam, C-Charakterstark, H-Herzlich",
133,Geyer,"G-Geliebt, E-Echt, Y-Young-at-heart, E-Ehrlich, R-Respektvoll",
134,Giese,"G-Geliebt, I-Innig, E-Echt, S-Stark, E-Ehrlich",
135,Glaser,"G-Geliebt, L-Liebevoll, A-Achtsam, S-Stark, E-Echt, R-Respektvoll",
136,Gottschalk,"G-Geliebt, O-Offen, T-Treu, T-Tatkräftig, S-Stark, C-Charakterstark, H-Herzlich, A-Achtsam, L-Liebevoll, K-Kraftvoll",
137,Graf,"G-Geliebt, R-Respektvoll, A-Achtsam, F-Familienstark",
138,Greiner,"G-Geliebt, R-Respektvoll, E-Echt, I-Innig, N-Nahbar, E-Ehrlich, R-Ruhig",
139,Grimm,"G-Geliebt, R-Respektvoll, I-Innig, M-Menschlich, M-Markant",
140,Gross,"G-Geliebt, R-Respektvoll, O-Offen, S-Stark, S-Sympathisch",
141,Gruber,"G-Geliebt, R-Respektvoll, U-Unkompliziert, B-Beständig, E-Echt, R-Ruhig",
142,Haag,"H-Herzlich, A-Achtsam, A-Aufrichtig, G-Geliebt",
143,Haas,"H-Herzlich, A-Achtsam, A-Aufrichtig, S-Stark",
144,Haase,"H-Herzlich, A-Achtsam, A-Aufrichtig, S-Stark, E-Echt",
145,Hagemann,"H-Herzlich, A-Achtsam, G-Geliebt, E-Echt, M-Menschlich, A-Aufrichtig, N-Nahbar, N-Natürlich",
146,Hagen,"H-Herzlich, A-Achtsam, G-Geliebt, E-Echt, N-Nahbar",
147,Hahn,"H-Herzlich, A-Achtsam, H-Hilfsbereit, N-Nahbar",
148,Haller,"H-Herzlich, A-Achtsam, L-Liebevoll, L-Loyal, E-Echt, R-Respektvoll",
149,Hamann,"H-Herzlich, A-Achtsam, M-Menschlich, A-Aufrichtig, N-Nahbar, N-Natürlich",
150,Hammer,"H-Herzlich, A-Achtsam, M-Menschlich, M-Markant, E-Echt, R-Respektvoll",
151,Hanke,"H-Herzlich, A-Achtsam, N-Nahbar, K-Kraftvoll, E-Echt",
152,Hansen,"H-Herzlich, A-Achtsam, N-Nahbar, S-Stark, E-Echt, N-Natürlich",
153,Harms,"H-Herzlich, A-Achtsam, R-Respektvoll, M-Menschlich, S-Stark",
154,Hartmann,"H-Herzlich, A-Achtsam, R-Respektvoll, T-Treu, M-Menschlich, A-Aufrichtig, N-Nahbar, N-Natürlich",
155,Hartung,"H-Herzlich, A-Achtsam, R-Respektvoll, T-Treu, U-Unkompliziert, N-Nahbar, G-Geliebt",
156,Hartwig,"H-Herzlich, A-Achtsam, R-Respektvoll, T-Treu, W-Warmherzig, I-Innig, G-Geliebt",
157,Haupt,"H-Herzlich, A-Achtsam, U-Unkompliziert, P-Positiv, T-Treu",
158,Hauser,"H-Herzlich, A-Achtsam, U-Unkompliziert, S-Stark, E-Echt, R-Respektvoll",
159,Hausmann,"H-Herzlich, A-Achtsam, U-Unkompliziert, S-Stark, M-Menschlich, A-Aufrichtig, N-Nahbar, N-Natürlich",
160,Hecht,"H-Herzlich, E-Echt, C-Charakterstark, H-Hilfsbereit, T-Treu",
161,Heck,"H-Herzlich, E-Echt, C-Charakterstark, K-Kraftvoll",
162,Heil,"H-Herzlich, E-Echt, I-Innig, L-Liebevoll",
163,Heim,"H-Herzlich, E-Echt, I-Innig, M-Menschlich",
164,Hein,"H-Herzlich, E-Echt, I-Innig, N-Nahbar",
165,Heine,"H-Herzlich, E-Echt, I-Innig, N-Nahbar, E-Ehrlich",
166,Heinemann,"H-Herzlich, E-Echt, I-Innig, N-Nahbar, E-Ehrlich, M-Menschlich, A-Achtsam, N-Natürlich, N-Nett",
167,Heinrich,"H-Herzlich, E-Echt, I-Innig, N-Nahbar, R-Respektvoll, I-Inspirierend, C-Charakterstark, H-Hilfsbereit",
168,Heinz,"H-Herzlich, E-Echt, I-Innig, N-Nahbar, Z-Zusammenhaltend",
169,Heinze,"H-Herzlich, E-Echt, I-Innig, N-Nahbar, Z-Zusammenhaltend, E-Ehrlich",
170,Heise,"H-Herzlich, E-Echt, I-Innig, S-Stark, E-Ehrlich",
171,Held,"H-Herzlich, E-Echt, L-Liebevoll, D-Dankbar",
172,Heller,"H-Herzlich, E-Echt, L-Liebevoll, L-Loyal, E-Ehrlich, R-Respektvoll",
173,Hempel,"H-Herzlich, E-Echt, M-Menschlich, P-Positiv, E-Ehrlich, L-Liebevoll",
174,Henke,"H-Herzlich, E-Echt, N-Nahbar, K-Kraftvoll, E-Ehrlich",
175,Henkel,"H-Herzlich, E-Echt, N-Nahbar, K-Kraftvoll, E-Ehrlich, L-Liebevoll",
176,Hennig,"H-Herzlich, E-Echt, N-Nahbar, N-Natürlich, I-Innig, G-Geliebt",
177,Henning,"H-Herzlich, E-Echt, N-Nahbar, N-Natürlich, I-Innig, N-Nett, G-Geliebt",
178,Hensel,"H-Herzlich, E-Echt, N-Nahbar, S-Stark, E-Ehrlich, L-Liebevoll",
179,Hentschel,"H-Herzlich, E-Echt, N-Nahbar, T-Treu, S-Stark, C-Charakterstark, H-Hilfsbereit, E-Ehrlich, L-Liebevoll",
180,Herbst,"H-Herzlich, E-Echt, R-Respektvoll, B-Beständig, S-Stark, T-Treu",
181,Hermann,"H-Herzlich, E-Echt, R-Respektvoll, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
182,Herold,"H-Herzlich, E-Echt, R-Respektvoll, O-Offen, L-Liebevoll, D-Dankbar",
183,Herrmann,"H-Herzlich, E-Echt, R-Respektvoll, R-Ruhig, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
184,Herzog,"H-Herzlich, E-Echt, R-Respektvoll, Z-Zusammenhaltend, O-Offen, G-Geliebt",
185,Hess,"H-Herzlich, E-Echt, S-Stark, S-Sympathisch",
186,Hesse,"H-Herzlich, E-Echt, S-Stark, S-Sympathisch, E-Ehrlich",
187,Heuer,"H-Herzlich, E-Echt, U-Unkompliziert, E-Ehrlich, R-Respektvoll",
188,Hildebrandt,"H-Herzlich, I-Innig, L-Liebevoll, D-Dankbar, E-Echt, B-Beständig, R-Respektvoll, A-Achtsam, N-Nahbar, D-Direkt, T-Treu",
189,Hiller,"H-Herzlich, I-Innig, L-Liebevoll, L-Loyal, E-Echt, R-Respektvoll",
190,Hinrichs,"H-Herzlich, I-Innig, N-Nahbar, R-Respektvoll, I-Inspirierend, C-Charakterstark, H-Hilfsbereit, S-Stark",
191,Hinz,"H-Herzlich, I-Innig, N-Nahbar, Z-Zusammenhaltend",
192,Hirsch,"H-Herzlich, I-Innig, R-Respektvoll, S-Stark, C-Charakterstark, H-Hilfsbereit",
193,Hoffmann,"H-Herzlich, O-Offen, F-Familienstark, F-Fest-verbunden, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
194,Hofmann,"H-Herzlich, O-Offen, F-Familienstark, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
195,Hohmann,"H-Herzlich, O-Offen, H-Hilfsbereit, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
196,Holz,"H-Herzlich, O-Offen, L-Liebevoll, Z-Zusammenhaltend",
197,Hoppe,"H-Herzlich, O-Offen, P-Positiv, P-Präsent, E-Echt",
198,Horn,"H-Herzlich, O-Offen, R-Respektvoll, N-Nahbar",
199,Huber,"H-Herzlich, U-Unkompliziert, B-Beständig, E-Echt, R-Respektvoll",
200,Hummel,"H-Herzlich, U-Unkompliziert, M-Menschlich, M-Markant, E-Echt, L-Liebevoll",
201,Jacob,"J-Jovial, A-Achtsam, C-Charakterstark, O-Offen, B-Beständig",
202,Jacobs,"J-Jovial, A-Achtsam, C-Charakterstark, O-Offen, B-Beständig, S-Stark",
203,Jahn,"J-Jovial, A-Achtsam, H-Herzlich, N-Nahbar",
204,Jakob,"J-Jovial, A-Achtsam, K-Kraftvoll, O-Offen, B-Beständig",
205,Jansen,"J-Jovial, A-Achtsam, N-Nahbar, S-Stark, E-Echt, N-Natürlich",
206,Janssen,"J-Jovial, A-Achtsam, N-Nahbar, S-Stark, S-Sympathisch, E-Echt, N-Natürlich",
207,John,"J-Jovial, O-Offen, H-Herzlich, N-Nahbar",
208,Jordan,"J-Jovial, O-Offen, R-Respektvoll, D-Dankbar, A-Achtsam, N-Nahbar",
209,Jost,"J-Jovial, O-Offen, S-Stark, T-Treu",
210,Jung,"J-Jovial, U-Unkompliziert, N-Nahbar, G-Geliebt",
211,Junker,"J-Jovial, U-Unkompliziert, N-Nahbar, K-Kraftvoll, E-Echt, R-Respektvoll",
212,Kaiser,"K-Kraftvoll, A-Achtsam, I-Innig, S-Stark, E-Echt, R-Respektvoll",
213,Karl,"K-Kraftvoll, A-Achtsam, R-Respektvoll, L-Liebevoll",
214,Kaufmann,"K-Kraftvoll, A-Achtsam, U-Unkompliziert, F-Familienstark, M-Menschlich, A-Aufrichtig, N-Nahbar, N-Natürlich",
215,Keil,"K-Kraftvoll, E-Echt, I-Innig, L-Liebevoll",
216,Keller,"K-Kraftvoll, E-Echt, L-Liebevoll, L-Loyal, E-Ehrlich, R-Respektvoll",
217,Kellner,"K-Kraftvoll, E-Echt, L-Liebevoll, L-Loyal, N-Nahbar, E-Ehrlich, R-Respektvoll",
218,Kern,"K-Kraftvoll, E-Echt, R-Respektvoll, N-Nahbar",
219,Kessler,"K-Kraftvoll, E-Echt, S-Stark, S-Sympathisch, L-Liebevoll, E-Ehrlich, R-Respektvoll",
220,Kiefer,"K-Kraftvoll, I-Innig, E-Echt, F-Familienstark, E-Ehrlich, R-Respektvoll",
221,Kirchner,"K-Kraftvoll, I-Innig, R-Respektvoll, C-Charakterstark, H-Herzlich, N-Nahbar, E-Echt, R-Ruhig",
222,Kirsch,"K-Kraftvoll, I-Innig, R-Respektvoll, S-Stark, C-Charakterstark, H-Herzlich",
223,Klaus,"K-Kraftvoll, L-Liebevoll, A-Achtsam, U-Unkompliziert, S-Stark",
224,Klein,"K-Kraftvoll, L-Liebevoll, E-Echt, I-Innig, N-Nahbar",
225,Klemm,"K-Kraftvoll, L-Liebevoll, E-Echt, M-Menschlich, M-Markant",
226,Klose,"K-Kraftvoll, L-Liebevoll, O-Offen, S-Stark, E-Echt",
227,Klotz,"K-Kraftvoll, L-Liebevoll, O-Offen, T-Treu, Z-Zusammenhaltend",
228,Kluge,"K-Kraftvoll, L-Liebevoll, U-Unkompliziert, G-Geliebt, E-Echt",
229,Knoll,"K-Kraftvoll, N-Nahbar, O-Offen, L-Liebevoll, L-Loyal",
230,Koch,"K-Kraftvoll, O-Offen, C-Charakterstark, H-Herzlich",
231,Kohl,"K-Kraftvoll, O-Offen, H-Herzlich, L-Liebevoll",
232,Kohler,"K-Kraftvoll, O-Offen, H-Herzlich, L-Liebevoll, E-Echt, R-Respektvoll",
233,Kolb,"K-Kraftvoll, O-Offen, L-Liebevoll, B-Beständig",
234,Konrad,"K-Kraftvoll, O-Offen, N-Nahbar, R-Respektvoll, A-Achtsam, D-Dankbar",
235,Kopp,"K-Kraftvoll, O-Offen, P-Positiv, P-Präsent",
236,Kraft,"K-Kraftvoll, R-Respektvoll, A-Achtsam, F-Familienstark, T-Treu",
237,Kramer,"K-Kraftvoll, R-Respektvoll, A-Achtsam, M-Menschlich, E-Echt, R-Ruhig",
238,Kranz,"K-Kraftvoll, R-Respektvoll, A-Achtsam, N-Nahbar, Z-Zusammenhaltend",
239,Kraus,"K-Kraftvoll, R-Respektvoll, A-Achtsam, U-Unkompliziert, S-Stark",
240,Krause,"K-Kraftvoll, R-Respektvoll, A-Achtsam, U-Unkompliziert, S-Stark, E-Echt",
241,Krebs,"K-Kraftvoll, R-Respektvoll, E-Echt, B-Beständig, S-Stark",
242,Kremer,"K-Kraftvoll, R-Respektvoll, E-Echt, M-Menschlich, E-Ehrlich, R-Ruhig",
243,Kretschmer,"K-Kraftvoll, R-Respektvoll, E-Echt, T-Treu, S-Stark, C-Charakterstark, H-Herzlich, M-Menschlich, E-Ehrlich, R-Ruhig",
244,Krieger,"K-Kraftvoll, R-Respektvoll, I-Innig, E-Echt, G-Geliebt, E-Ehrlich, R-Ruhig",
245,Kroll,"K-Kraftvoll, R-Respektvoll, O-Offen, L-Liebevoll, L-Loyal",
246,Krug,"K-Kraftvoll, R-Respektvoll, U-Unkompliziert, G-Geliebt",
247,Kruse,"K-Kraftvoll, R-Respektvoll, U-Unkompliziert, S-Stark, E-Echt",
248,Kuhlmann,"K-Kraftvoll, U-Unkompliziert, H-Herzlich, L-Liebevoll, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
249,Kuhn,"K-Kraftvoll, U-Unkompliziert, H-Herzlich, N-Nahbar",
250,Kunz,"K-Kraftvoll, U-Unkompliziert, N-Nahbar, Z-Zusammenhaltend",
